Nombre,Equipo,Posición,Liga,Fin de contrato,Lado,Pie bueno,Edad,Valor (€),Altura,GBE,Partidos,Minutos,Tarjetas Amarillas,Tarjetas Rojas,Distancia Media de Pases,Pases de la Muerte,Pases en Profundidad,% Pases Largos,Pases Largos Recibidos,Pases Largos Completados,% Pases al Área en Jugada,Pases,% Pases Último ⅓,% Pases hacia delante,% Pases en Juego en el Área Rival en su Equipo,Pases a Campo Contrario,Pases Recibidos Último ⅓,Pases Completados,% Contribución de Pase,Pases al Último ⅓ Completados,% Pases al Último ⅓,% Pases en Campo Contrario,% Pases en Campo Propio,% Pases,% Pases Adelante Completados,Pases Progresivos Completados,% Pases Progresivos,Pases Cortos Completados,% Paradas Atrapadas,Precisión en Centros (Interceptar),% Pases con la Mano,% Paradas Dentro del Área,% Paradas Fuera del Área,% Paradas,Remates por Gol,xG Recibido,Goles Evitados,xG Recibidos por Gol,xG Parados / xG Recibidos,Presión tras pérdida,Centros Interceptados,Remates Interceptados,Amplitud,Despejes,Acciones Defensivas,Distancia Defensiva,% Duelos Defensivos Ganados,Diferencia Distancia Defensiva con el Equipo,Duelos Defensivos,Duelos Perdidos,% Duelos Exitosos,Duelos,Faltas,% Faltas en Campo Propio,% Acciones Defensivas Altas,Presión Individual,Presión Individual Campo Rival,Intercepciones,Recuperaciones Rápidas,% Recuperaciones Rápidas,Recuperaciones,Recuperaciones en Campo Contrario,Tackles Intentados,Tackles con Éxito,Tackles/Fue Regateado,Tackles/Fue Regateado Último ⅓,Tackles/Fue Regateado ⅓,% Duelos por Bajo,Tackles/Fue Regateado ⅔,Distancia Media Remates,Finalización,Finalizacion xG a Puerta,Goles,Goles Fuera del Área,Remate de Cabeza por Centro,Remate de Cabeza por Tiro,Remates de Cabeza,Goles sin Penaltis,Fueras de Juego,% Remates a Puerta,% Remates a Puerta Fuera del Área,Remates,Tiros a puerta,Remates Fuera del Área,Remates por Goles sin Penaltis,xG,Construcción en su Equipo,Eficiencia xG,xG a Puerta,% xG en Juego en su Equipo,xG por Goles sin Penaltis,xG por Remate,Pérdidas,Pérdidas en Campo Propio,% Retención del Balón,% Retención del Balón en Campo Rival,Regates Intentados,Regates Intentados Último ⅓,% Regates Completados Último ⅓,Regates Intentados Campo Contrario,% Regates Completados Campo Contrario,Regates Intentados Campo Propio,% Regates Completados Campo Propio,Regates Completados Último ⅓,Regates Completados Campo Contrario,Regates Completados Campo Propio,Faltas Recibidas,Regates Completados,% Regates Completados,Toques,Toques en Área Rival,% Toques de Balón en el Área Rival en su Equipo,Asistencias,Progresión de Balón,Progresión de Balón con Conducción,Prog. de Balón Último ⅓,% Progr Balón Campo Rival en su Equipo,Progresión de Balón con Pase,Ocasiones Creadas,Ocasiones Creadas en Jugada,Entradas al Área,Pases Clave en Juego,Pases Completados al Área en Juego,Pases por cada Balón Largo,Pases Progresivos Recibidos,Pases Progresivos Recibidos Último ⅓,Pases Progresivos Recibidos en el Área,Pases Progresivos Recibidos en Campo Rival,Contribución Goleadora,Pases entre Líneas,Toques por Remate,xA de Centros,xA,xA en Jugada,xA en Jugada en su Equipo,xA a Balón Parado,Construcción xG,Construcción xG 5 pases,Construcción xG Último ⅓,Participación xG,Participación xG Último ⅓,Peligro Esperado (xT),xT Regates,xT en Juego,xT en Juego en su Equipo,xT Pases,xT Pases por 100 Pases,Duelos Aéreos Defensivos,% Duelos Aéreos Defensivos Ganados,Eficiencia Aérea,Duelos Aéreos Ofensivos,% Duelos Aéreos Ofensivos,Duelos Aéreos,% Duelos Aéreos Ganados Área Rival,% Duelos Aéreos Ganados Área Propia,Duelos Aéreos Totales Campo Rival,Duelos Aéreos Ganados en AR,% Duelos Aéreos Ganados Campo Rival,Duelos Aéreos Ganados en AP,Duelos Aéreos Ganados,% Duelos Aéreos Ganados,Duelos Aéreos Defensivos Ganados,Duelos Aéreos Ofensivos Ganados,Centros Completados,Centros Completados en Jugada,Eficiencia de Centros,Centros,Centros al Área Pequeña,% Centros Completados,% Centros Completados en Jugada,Conducción y Asistencia,Progreso Medio de Conducciones,Distancia Media de Conducción,Conducciones,% Conducciones,Conducción y Ocasión,Profundidad,Profundidad en el Último ⅓,Conducción y Gol,Conducciones Progresivas,Conducción y Tiro,Pérdidas de Balón,Pérdidas Peligrosas y Gol,Pérdidas Peligrosas,Pérdidas Peligrosas y Tiro,Secuencia acabada en gol,Secuencia acabada en tiro,Puntuación,Recuperaciones en Campo Propio,Faltas en Campo Propio,Faltas en Campo Rival,Centros en Jugada,Pases al Área en Juego,Pases Adelante,Pases Adelante Completados,Duelos Defensivos Ganados,Pases al Último ⅓,Pases Progresivos,Pases Largos,% Pases Largos del total,Pases Clave (Total),Ocasiones Creadas (Total),Duelos Aéreos Área Propia,Duelos Aéreos Área Rival,Pérdidas en Campo Rival,Fecha Ejecución,Rating,rank,Año fin contrato
Koen Kostons,Paderborn,FW,GER II 2024,Jun 27,Centre/Right,right,"25,0","750,0","186,0","9,0","15,0","955,0","0,0","0,0","15,3","0,09","0,66","48,3","2,45","1,32","60,0","0,9237254114813327","0,4041994750656168","19,6","32,6","15,6","12,8","0,8625592417061612","-0,87","9,24","71,0","75,3","79,7","0,5961538461538458","50,0","3,02","16,3","9,52","0,0","0,13","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,47","0,19","0,0","2,64","0,4","3,11","47,9","37,9","9,92","2,73","3,67","0,6363636363636367","0,19259882253994953","0,75","12,5","57,6","31,9","28,6","0,99","0,0","0,0","1,29","0,66","1,39","0,7","50,0","100,0","40,0","31,8","66,7","14,5","16,7","21,7","0,28","0,0","2,98","11,1","0,19","0,28","0,47","0,4625905068382943","0,0","0,24945295404814002","0,2042553191489362","0,28","6,0","0,18840579710144928","13,0","0,35820895522388063","0,2","22,8","0,77","0,33333333333333337","0,7856191744340879","1,0000000000000002","83,4","83,2","1,32","0,13698630136986303","0,38141470180305126","1,23","38,5","0,09","0,0","0,09385113268608414","0,47","0,0","0,07291666666666664","0,47","35,7","44,9","0,32227488151658773","17,5","0,0","6,97","3,11","3,77","6,62","3,86","1,41","1,13","2,54","1,0","1,41","18,5","12,4","4,81","0,17061611374407587","8,67","0,28","0,09","26,4","0,04","0,1","0,6","14,5","0,01","0,51","0,3","0,28","0,65","0,43","0,23","0,03","0,23","15,2","0,2","0,63","0,66","57,1","1,32","1,79","36,8","2,45","83,3","50,0","0,1448692152917505","0,47","0,7775831873905429","0,09","1,04","42,3","0,38","0,66","1,04","1,04","3,39","2,36","0,56","44,0","44,0","0,0","10,2","16,4","6,03","60,9","0,38","7,35","23,1","0,09","1,32","0,47","0,09","0,0","0,28","0,0","0,66","6,22","44,0","0,63","0,09","0,66","2,36","2,35","6,23","3,12","1,03","13,01","18,53","2,73","8,59","12,0","12,0","0,18","0,56","6,03",2025-01-31,"3,6534509957197314","38,0","2 027,0"
Felix Higl,SSV Ulm 1846 Fussball,FW,GER II 2024,Jun 26,Left/Right,left,"28,0","350,0","194,0","8,0","16,0","1 021,0","1,0","0,0","13,6","0,35","0,26","30,0","3,88","0,26","50,0","0,37374548374146926","0,5328083989501311","22,4","13,5","9,43","9,52","0,3459715639810426","-3,03","5,91","71,3","72,8","79,3","0,5256410256410251","52,2","1,32","13,7","6,96","0,0","0,73","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,53","0,09","0,0","2,91","0,16","4,94","42,9","53,5","6,2","3,79","5,73","0,5769230769230771","0,6467619848612279","1,15","30,8","51,8","43,8","36,3","1,35","0,09","2,63","2,31","0,62","1,67","1,43","85,7","100,0","77,8","52,9","87,5","20,0","14,3","-1,8","0,35","0,09","3,03","7,14","0,09","0,18","0,7","0,3869670152855993","28,6","0,14660831509846825","0,1148936170212766","0,62","7,0","0,043478260869565216","13,2","0,3283582089552239","0,08","18,0","0,7","0,19047619047619052","0,3488681757656458","0,35978835978835977","83,4","84,1","1,5","0,17808219178082194","0,9999999999999999","1,32","80,0","0,18","100,0","0,284789644012945","1,06","0,18","0,3680555555555555","1,23","82,3","30,8","0,2701421800947867","20,1","0,0","3,08","1,5","2,12","4,21","1,59","0,7","0,53","0,79","0,46902654867256643","0,44","51,0","11,7","5,11","0,23222748815165878","9,26","0,35","0,09","24,9","0,01","0,04","0,2","15,4","0,01","0,22","0,15","0,12","0,26","0,2","0,08","0,01","0,08","8,36","0,07","0,38","0,79","55,6","4,36","6,52","43,2","7,32","30,0","100,0","0,5684104627766601","0,26","0,7057793345008756","0,26","3,26","44,6","0,44","2,82","0,09","0,09","1,15","1,06","0,09","8,33","8,33","0,0","13,2","18,3","3,0","58,8","0,09","6,96","16,7","0,0","1,06","0,18","0,18","0,0","0,44","0,09","0,53","3,17","55,0","1,69","0,35","0,8","1,08","0,88","4,05","2,12","2,03","8,29","9,64","0,87","4,79","6,0","6,0","0,26","0,87","3,96",2025-01-31,"3,5160343887114576","39,0","2 026,0"
Joel Grodowski,SC Preussen Munster,FW,GER II 2024,0,Centre/Right,left,"27,0","700,0","185,0","7,0","15,0","921,0","1,0","0,0","12,4","0,39","0,0","26,7","2,05","0,39","7,14","0,0","0,4645669291338581","18,9","4,35","3,52","5,38","0,007109004739336455","-10,82","2,54","66,7","64,3","85,3","0,44871794871794846","35,3","0,29","10,0","2,83","0,0","0,04","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,74","0,0","2,54","58,5","36,0","22,0","2,44","5,96","0,5874125874125875","0,7140454163162323","1,27","38,5","73,1","34,6","31,5","0,17","0,2","15,4","0,74","0,39","0,91","0,74","81,8","100,0","100,0","37,5","60,0","17,2","7,69","-51,1","0,1","0,0","1,72","7,69","0,1","0,1","0,29","0,5462590506838293","75,0","0,15536105032822758","0,17446808510638298","0,39","13,0","0,043478260869565216","10,9","0,22388059701492538","0,12","13,7","1,23","0,19047619047619052","0,3315579227696405","0,2698412698412699","83,7","83,3","5,08","0,6027397260273973","0,6019417475728155","4,1","52,4","0,98","50,0","0,5728155339805825","2,15","0,49","0,28125","2,64","51,9","27,7","0,4375987361769352","21,9","0,2","5,08","4,5","4,01","9,14","0,59","0,49","0,39","1,47","0,1769911504424779","0,1","16,2","6,16","3,42","0,18009478672985785","4,89","0,29","0,0","21,8","0,03","0,16","1,0","33,8","0,0","0,27","0,05","0,23","0,44","0,4","0,2","0,01","0,2","17,1","0,18","2,11","0,1","0,0","0,95","2,93","33,3","3,03","0,0","0,0","0,19014084507042253","0,0","0,4781085814360771","0,0","0,98","32,3","0,0","0,98","0,68","0,68","5,18","4,5","1,07","15,2","15,2","0,2","18,3","23,3","5,57","35,1","0,39","8,4","19,8","0,0","3,42","0,29","0,0","0,0","0,1","0,0","0,49","3,23","43,0","0,35","0,49","0,78","4,47","1,4","1,66","0,59","0,88","3,81","2,9","1,46","16,62","2,0","4,0","0,0","0,0","4,0",2025-01-31,"3,442917372062383","40,0",nan
Ilyas Ansah,Paderborn,FW,GER II 2024,0,Left/Centre,0,"20,0","2 000,0","194,0","9,0","19,0","983,0","2,0","0,0","12,7","0,46","0,18","27,3","1,83","0,28","50,0","0,3496587715776796","0,5091863517060367","26,2","14,3","8,15","7,78","0,31279620853080575","-6,93","5,86","74,4","71,8","76,1","0,4839743589743586","66,0","1,83","12,0","6,13","0,0","0,41","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,28","0,09","0,0","4,21","0,1","3,94","49,7","36,2","11,7","4,3","5,95","0,6643356643356646","0,8065601345668628","1,56","23,5","53,5","36,4","33,3","0,57","0,09","4,17","1,32","0,55","1,7","1,23","72,2","85,7","66,7","37,1","50,0","14,8","21,4","-3,86","0,28","0,09","3,39","14,3","0,18","0,28","0,28","0,5012067578439259","33,3","0,15754923413566738","0,16170212765957448","0,28","4,67","0,0","11,5","0,5223880597014925","0,1","8,49","0,34","0,04761904761904767","0,5832223701731025","0,8677248677248678","81,8","83,1","4,03","0,5616438356164384","0,6421636615811372","3,39","59,5","0,64","57,1","0,5631067961165048","2,01","0,37","0,5138888888888888","2,38","59,1","34,9","0,4502369668246446","22,0","0,09","5,04","3,11","3,48","5,97","1,92","0,46","0,28","1,65","0,1592920353982301","0,46","46,7","7,51","4,12","0,07582938388625593","6,04","0,37","0,0","27,2","0,01","0,02","0,06666666666666667","3,93","0,01","0,36","0,17","0,27","0,41","0,32","0,1","0,02","0,1","7,2","0,08","0,47","1,1","33,3","1,38","2,11","34,8","3,57","36,4","40,0","0,2313883299798793","0,37","0,6882661996497372","0,18","1,28","35,9","0,37","0,73","0,18","0,18","1,83","1,65","0,28","11,1","11,1","0,09","13,8","19,2","6,5","54,9","0,28","9,98","22,2","0,18","2,38","0,37","0,28","0,0","0,82","0,0","0,73","3,75","46,0","0,77","0,37","1,19","1,62","0,92","4,58","3,03","1,56","7,88","15,25","1,03","5,86","2,0","3,0","0,45","1,02","4,76",2025-01-31,"3,326385265340174","41,0",nan
Andreas Voglsammer,Hannover 96,FW,GER II 2024,Jun 25,Left/Right,right,"33,0","500,0","177,0","7,0","18,0","787,0","1,0","0,0","15,4","0,11","0,46","28,6","2,17","0,46","47,4","0,38980329185066237","0,5905511811023623","34,6","18,4","8,69","11,0","0,27962085308056867","-4,76","5,38","60,3","62,3","75,0","0,23076923076923084","51,8","2,86","26,5","5,26","0,0","0,29","0,0","100,0","100,0","100,0","3,0","0,0","0,0","0,0","0,0","0,11","0,0","0,34","1,14","0,0","1,94","40,8","47,4","-2,25","2,17","5,38","0,19930069930069916","0,2514718250630783","0,69","66,7","41,2","24,4","22,4","0,46","0,11","12,5","0,58","0,23","0,46","0,23","50,0","50,0","50,0","20,0","0,0","14,0","10,0","30,0","0,23","0,0","11,5","35,0","0,8","0,23","0,57","0,570394207562349","25,0","0,37855579868708966","0,3574468085106383","0,46","10,0","0,17391304347826086","6,86","0,2835820895522388","0,26","21,2","0,93","0,14285714285714285","0,6577896138482024","0,4761904761904763","78,3","77,7","1,49","0,24461839530332685","0,46740638002773927","1,49","46,2","0,0","0,0","0,1941747572815534","0,69","0,0","0,02777777777777779","0,69","46,1","28,8","0,3807266982622434","22,3","0,11","6,29","2,63","4,35","5,37","3,66","0,92","0,57","1,49","0,40707964601769914","1,03","26,5","10,1","5,72","0,39810426540284355","8,69","0,34","0,11","12,6","0,08","0,15","0,46666666666666673","19,6","0,07","0,23","0,14","0,17","0,53","0,47","0,13","0,01","0,13","8,71","0,12","0,66","1,03","77,8","2,43","4,23","24,3","5,83","42,1","100,0","0,4688128772635815","0,92","0,5709281961471103","0,57","2,17","37,2","0,8","1,03","0,57","0,57","2,17","1,6","0,34","35,7","35,7","0,0","13,2","18,1","4,69","53,7","0,34","7,09","18,4","0,0","1,6","0,23","0,23","0,0","0,23","0,0","0,46","4,35","38,0","0,35","0,46","0,23","1,6","2,17","6,4","3,32","1,03","8,92","10,79","1,61","8,69","4,0","5,0","0,57","2,19","6,06",2025-01-31,"3,283276693640906","42,0","2 025,0"
Branimir Hrgota,Greuther Furth,FW,GER II 2024,Jun 26,Centre/Right,left,"32,0","1 000,0","185,0","12,0","19,0","1 838,0","3,0","0,0","17,0","1,57","0,73","36,8","1,52","1,37","35,0","0,6627860297069448","0,700787401574803","36,6","25,6","12,8","10,2","0,5781990521327014","11,5","8,91","67,4","70,0","80,4","0,47115384615384626","55,0","4,8","31,8","7,39","0,0","0,05","72,7","100,0","100,0","100,0","4,0","0,0","0,0","0,0","0,0","0,44","0,0","0,2","4,16","0,14","4,6","51,4","54,2","12,6","4,06","4,31","0,9055944055944054","0,6804037005887299","1,27","30,8","67,0","49,0","40,5","0,46","0,34","10,9","1,84","0,98","2,49","2,03","81,5","50,0","85,7","55,0","87,5","20,5","13,8","-20,96","0,2","0,05","0,0","0,0","0,0","0,2","0,29","0,2598551890587288","16,7","0,1881838074398249","0,08936170212765956","0,88","7,25","0,02898550724637683","17,3","0,3880597014925373","0,05","9,84","0,55","0,04761904761904767","0,8362183754993342","0,6084656084656086","82,6","81,4","3,82","0,5753424657534247","0,5090152565880721","3,48","52,1","0,34","85,7","0,47896440129449835","1,81","0,29","0,7604166666666667","2,11","55,1","47,3","0,21484992101105854","15,9","0,1","7,49","2,3","5,43","10,6","5,19","1,37","0,73","2,3","0,6106194690265486","1,03","13,4","10,1","4,55","0,16113744075829384","7,74","0,29","0,39","33,3","0,04","0,12","0,46666666666666673","16,0","0,05","0,46","0,26","0,29","0,61","0,46","0,32","0,02","0,2","14,9","0,3","1,18","0,15","33,3","0,11","0,88","16,7","1,03","33,3","0,0","0,03822937625754527","0,05","0,404553415061296","0,0","0,2","19,1","0,05","0,15","0,88","0,39","4,8","3,92","0,59","22,5","15,4","0,0","14,4","18,6","4,5","48,9","0,34","8,13","24,6","0,05","1,86","0,2","0,15","0,0","0,29","0,05","0,73","5,58","58,0","0,86","0,39","0,88","2,53","2,94","9,26","5,09","2,2","13,22","15,09","3,72","14,71","14,0","15,0","0,0","0,15","7,15",2025-01-31,"3,257499206657529","43,0","2 026,0"
Andras Nemeth,SC Preussen Munster,FW,GER II 2024,Jun 26,Left/Centre,right,"22,0","800,0","187,0","9,0","16,0","971,0","1,0","0,0","13,8","0,09","0,09","54,5","2,41","0,56","20,0","0,29345644319550385","0,3989501312335957","26,4","8,33","7,14","4,08","0,2701421800947867","-1,51","3,89","59,1","67,5","85,0","0,49358974358974317","43,5","1,58","19,5","6,03","0,0","0,11","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,46","0,0","0,0","2,78","0,0","3,24","61,0","33,3","24,4","3,06","7,42","0,11888111888111896","0,5626576955424728","1,39","13,3","77,1","39,2","35,3","0,54","0,46","26,3","0,85","0,65","0,93","0,77","83,3","83,3","50,0","37,0","100,0","17,7","0,0","-82,59","0,0","0,0","1,49","16,7","0,09","0,0","0,65","0,4625905068382943","50,0","0,0","0,0425531914893617","0,18","6,0","0,08695652173913043","8,04","0,029850746268656747","0,02","16,3","1,59","1,0","0,37150466045272973","0,29100529100529104","81,2","79,2","1,48","0,09784735812133075","0,0","1,11","25,0","0,37","100,0","0,0","0,28","0,37","0,42361111111111105","0,65","43,8","26,0","0,19589257503949448","16,1","0,28","3,24","1,48","1,3","5,28","1,76","0,83","0,56","0,37","0,3274336283185841","0,18","21,3","7,42","1,85","0,033175355450236976","5,65","0,28","0,0","46,7","0,03","0,09","0,33333333333333337","20,5","0,05","0,19","0,1","0,16","0,36","0,33","0,07","0,01","0,07","6,97","0,06","0,38","0,56","16,7","0,61","5,56","18,3","6,12","5,26","50,0","0,49597585513078474","0,09","0,28196147110332753","0,09","1,11","18,2","0,09","1,02","0,18","0,18","0,74","0,56","0,09","33,3","33,3","0,0","13,7","19,1","3,06","54,5","0,09","4,45","11,8","0,0","0,83","0,0","0,18","0,0","0,28","0,0","0,37","3,06","33,0","0,2","0,18","1,21","0,54","0,9","4,25","1,85","1,02","6,58","8,1","1,03","6,38","4,0","6,0","0,18","1,71","4,26",2025-01-31,"3,1786231887260747","44,0","2 026,0"
Johan Gomez,Eintracht Braunschweig,FW,GER II 2024,Jun 27,Left/Right,both,"23,0","900,0","183,0","9,0","19,0","1 194,0","0,0","0,0","14,8","0,23","0,38","50,0","1,51","0,68","23,5","0,38980329185066237","0,2992125984251969","28,1","8,7","8,82","6,48","0,3649289099526066","-6,93","4,75","69,2","74,0","77,3","0,5448717948717947","65,2","3,09","24,0","5,28","0,0","0,08","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,75","0,07","0,0","3,77","0,13","3,39","51,2","37,8","15,1","2,79","5,13","0,63986013986014","0,5626576955424728","0,83","27,3","57,8","43,1","36,2","0,67","0,15","6,06","1,27","0,83","1,53","0,87","56,5","66,7","45,5","38,2","66,7","15,4","0,0","103,7","0,0","0,0","0,0","0,0","0,0","0,0","0,3","0,28399034593724853","25,0","0,175054704595186","0,09361702127659574","0,3","18,0","0,08695652173913043","15,7","0,029850746268656747","0,14","28,7","2,0","0,23809523809523814","0,521970705725699","0,8306878306878308","81,9","82,0","3,84","0,45401174168297465","0,6837725381414702","3,09","61,0","0,75","50,0","0,482200647249191","1,88","0,38","0,798611111111111","2,26","58,8","33,7","0,2843601895734597","20,8","0,07","5,28","2,04","2,94","7,21","3,24","1,05","0,83","1,05","0,6637168141592921","0,3","20,6","7,76","3,24","0,14218009478672983","5,35","0,07","0,07","24,8","0,01","0,07","0,4","16,5","0,01","0,4","0,19","0,26","0,48","0,35","0,11","0,03","0,11","9,99","0,08","0,44","0,23","33,3","0,52","2,41","25,0","2,64","14,3","0,0","0,14788732394366197","0,07","0,30472854640980734","0,0","0,68","25,7","0,07","0,6","0,15","0,15","1,21","1,05","0,38","14,3","14,3","0,07","14,3","17,1","3,77","54,0","0,38","6,78","14,9","0,0","1,51","0,45","0,15","0,0","0,23","0,07","0,15","4,3","40,0","0,44","0,23","0,6","1,05","1,28","5,2","3,39","1,05","6,86","12,88","1,36","7,35","10,0","11,0","0,0","0,49","4,37",2025-01-31,"3,0246045676676054","45,0","2 027,0"
Christian Kuhlwetter,Jahn Regensburg,FW,GER II 2024,Jun 26,Left/Centre,both,"28,0","400,0","182,0","11,0","16,0","1 185,0","3,0","0,0","17,6","0,15","0,23","64,7","1,22","1,67","38,1","0,3617021276595745","0,5013123359580054","28,5","20,5","8,05","6,68","0,2938388625592417","-12,12","4,94","61,9","66,7","75,0","0,35897435897435903","58,2","2,51","25,5","4,03","0,0","0,32","100,0","100,0","0,0","100,0","1,0","0,0","0,0","0,0","0,0","0,61","0,08","0,08","4,18","0,38","5,01","49,4","39,4","11,9","5,39","7,44","0,2832167832167831","0,7056349873843567","1,44","47,4","60,6","46,3","38,4","0,64","0,61","17,8","1,27","0,83","2,23","1,21","54,3","50,0","54,5","35,2","55,6","19,2","0,0","103,5","0,08","0,0","1,64","4,54","0,08","0,0","0,38","0,0","0,0","0,24288840262582054","0,0","0,91","22,0","0,08695652173913043","11,8","0,029850746268656747","0,06","13,0","1,98","0,14285714285714285","0,5685752330226366","0,8359788359788359","79,9","80,4","1,75","0,19178082191780824","0,6934812760055479","1,37","61,1","0,38","20,0","0,2168284789644013","0,83","0,08","0,6215277777777777","0,91","52,2","32,1","0,0","10,3","0,0","4,63","1,82","3,19","7,16","2,81","0,76","0,53","0,68","0,46902654867256643","0,61","7,41","6,61","2,96","0,0","5,09","0,08","0,15","19,2","0,0","0,04","0,2","8,19","0,02","0,23","0,14","0,12","0,36","0,27","0,09","0,02","0,09","7,2","0,07","0,38","1,29","52,9","1,61","4,1","24,1","5,7","17,6","75,0","0,4014084507042254","0,23","0,34325744308231176","0,23","1,75","30,7","0,68","0,99","0,23","0,23","1,67","1,44","0,0","15,8","15,8","0,0","9,36","16,5","4,48","54,2","0,23","4,25","15,1","0,0","0,99","0,61","0,3","0,0","0,53","0,0","0,15","4,25","38,0","0,44","0,68","0,76","1,46","1,6","5,07","2,95","2,12","7,98","9,84","2,58","14,5","7,0","7,0","0,31","1,31","4,71",2025-01-31,"2,2561770777834953","46,0","2 026,0"
Mateo Retegui,Atalanta,FW,ITA I 2024,Jun 28,Left/Centre,right,"25,0","35 000,0","186,0","27,0","20,0","1 191,0","2,0","0,0","13,8","0,0","0,3","40,0","1,97","0,3","30,0","0,3588039867109635","0,8576779026217229","19,1","3,0","11,3","12,4","0,326444699579028","13,4","7,71","74,5","75,2","86,8","0,6953125","64,6","1,74","12,8","6,27","0,0","0,41","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,15","0,0","0,0","1,89","0,09","2,19","66,9","22,2","25,0","2,72","5,37","0,24324324324324342","0,2614107883817427","1,13","6,67","86,2","33,9","31,5","0,17","0,23","21,4","0,69","0,38","1,03","0,51","50,0","25,0","0,0","22,2","71,4","11,5","29,2","86,1","1,21","0,0","18,7","35,4","1,28","1,06","0,23","0,817564700890963","33,3","0,9831081081081081","1,0000000000000002","0,23","3,43","1,0","7,47","1,0","0,79","39,4","0,55","0,47619047619047616","0,23615160349854214","0,21472392638036808","84,6","84,6","0,98","0,11386138613861385","0,5","0,76","50,0","0,23","33,3","0,10888252148997134","0,38","0,08","0,2011834319526627","0,45","46,1","29,8","0,719839142091153","24,3","0,15","3,33","1,59","2,72","3,09","1,74","1,06","0,98","0,68","0,8607594936708861","0,23","48,8","11,3","5,97","0,9999999999999999","8,92","1,36","0,0","8,23","0,01","0,07","0,2777777777777778","10,6","0,0","0,45","0,25","0,37","0,94","0,86","0,07","0,02","0,07","3,07","0,04","0,23","0,68","22,2","2,36","4,46","42,4","5,29","40,6","50,0","0,4734356552538371","0,98","0,5831027485703744","0,08","2,04","38,6","0,15","1,89","0,08","0,08","1,06","0,98","0,15","7,69","7,69","0,0","12,1","17,8","2,95","56,4","0,23","10,1","19,6","0,23","0,98","0,38","0,23","0,0","0,08","0,0","1,89","6,72","71,0","0,31","0,08","1,05","1,04","0,77","3,63","2,34","0,6","10,35","13,59","0,75","3,95","11,0","13,0","0,16","2,41","4,15",2025-01-31,"6,92722445436189","1,0","2 028,0"
Marcus Thuram,Inter,FW,ITA I 2024,Jun 28,Right,right,"27,0","75 000,0","192,0","42,0","21,0","1 699,0","1,0","0,0","13,0","0,16","0,42","42,9","1,91","0,32","48,1","0,3089700996677741","0,7640449438202248","20,3","10,2","8,9","8,26","0,2766934557979335","9,52","6,25","68,6","71,8","88,5","0,65625","61,2","1,8","14,6","7,1","0,0","0,25","0,0","100,0","0,0","100,0","1,0","0,0","0,0","0,0","0,0","0,11","0,0","0,05","1,59","0,0","2,28","61,3","37,8","20,0","2,38","3,65","0,8648648648648649","0,4522821576763485","1,17","13,6","81,4","38,2","34,2","0,26","0,21","22,2","0,84","0,37","0,91","0,65","71,4","62,5","100,0","27,8","75,0","11,8","28,3","7,3","0,69","0,0","6,84","17,4","0,42","0,69","0,48","0,9957573186253712","75,0","0,581081081081081","0,7852348993288591","0,21","3,54","0,7058823529411764","11,7","0,7250000000000001","0,38","26,9","0,62","0,5714285714285714","0,271137026239067","0,33742331288343563","84,4","84,2","2,28","0,25907590759075905","0,71","2,01","68,4","0,27","20,0","0,33524355300859593","1,38","0,05","0,37573964497041423","1,43","62,8","31,7","0,5469168900804291","25,5","0,21","4,93","2,86","4,03","4,71","2,07","1,11","0,95","2,12","0,8227848101265823","0,69","42,2","9,48","4,77","0,5793991416309013","7,04","0,9","0,05","13,0","0,01","0,15","0,7222222222222222","20,0","0,01","0,6","0,26","0,45","0,84","0,74","0,22","0,08","0,22","11,5","0,15","0,85","0,48","77,8","3,14","2,81","52,8","3,28","62,5","66,7","0,26092089728453366","0,8","0,8671831765356945","0,11","1,85","56,5","0,37","1,48","0,21","0,21","1,22","1,01","0,21","21,1","21,1","0,21","15,2","19,6","5,19","50,0","0,69","10,6","20,8","0,27","2,7","0,85","0,37","0,0","0,16","0,05","1,27","5,4","70,0","0,47","0,16","1,01","1,0","1,43","3,55","2,17","0,9","9,11","12,33","0,75","4,26","15,0","18,0","0,16","1,28","4,19",2025-01-31,"6,596982480560314","2,0","2 028,0"
